BR,En,Hun
guerreiros,warriors,harcosok
pensem,think,gondol
presumo,presume,feltételez
miguel,Miguel,Miguel
agressão,aggression,agresszió
bo,BO,Bo
belas,beautiful,gyönyörű
boy,boy,fiú
quebra,smash,összetör
alison,Alison,Alon
juramento,oath,eskü
supostamente,supposedly,állítólag
enormes,huge,hatalmas
galera,crowd,tömeg
diego,Diego,Diegó
p,P,P
motel,motel,motel
desistiu,give up,felad
permitido,allowed,megengedett
murphy,murphy,murfy
caráter,character,karakter
administração,administration,adminisztráció
amou,amou,amou
ja,already,már
motores,motors,motorok
andem,rod,rúd
observar,observe,megfigyel
comem,eat,eszik
furioso,furious,dühös
cobre,copper,réz
procurado,wanted,vágyó
sobrinha,niece,unokahúg
pinto,chick,csaj
reis,kings,királyok
falaremos,We will speak,Majd beszélünk
imaginava,imagined,elképzelt
homer,Homer,Homérosz
joelho,knee,térd
precisaremos,We will need,Szükségünk lesz
merecem,deserve,megérdemel
cheios,full,teljes
cujo,whose,akinek
estariam,would be,lenne
daquilo,of that,ebből
disfarce,disguise,álcáz
lido,read,olvas
plataforma,platform,felület
infecção,infection,fertőzés
mexendo,moving,mozgó
direta,direct,közvetlen
desesperado,desperate,kétségbeesett
conforto,comfort,kényelem
março,March,március
ajudo,aid,támogatás
espiritual,spiritual,lelki
continuou,continued,folytatás
cantor,singer,énekes
sotaque,accent,hangsúly
noção,notion,fogalom
intenções,intention,szándék
aluno,student,diák
metrô,subway,metró
promotoria,prosecution,vád
dores,pain,fájdalom
cavaleiros,Knights,Lovagok
padrões,standards,szabványok
brasil,Brazil,Brazília
bandido,bandit,bandita
modelos,models,modellek
pistola,gun,pisztoly
ousa,ousse,húgyos
lobos,wolves,farkasok
estarmos,be,lenni
beijou,kissed,megcsókolt
ford,Ford,Fordít
casei,Casei,Kócos
máxima,maximum,maximális
correta,correct,helyes
caminhos,ways,módokon
ameaçou,threatened,fenyegető
rancho,Ranch,Tanya
xadrez,chess,sakk
respirando,breathing,lélegző
inventou,invented,feltalált
esconderijo,hiding place,rejtekhely
estarem,be,lenni
aprecio,appreciation,felértékelődés
demitir,dismiss,elbocsát
dúzia,dozen,tucat
recuperação,recovery,felépülés
sorria,he used to smile,Mosolygott
cuidados,care,gondoskodás
terça,third,harmadik
forçar,to force,kényszeríteni
precisaria,would need,kellene
eletricidade,electricity,elektromosság
macacos,monkeys,majmok
munição,ammunition,lőszer
blue,blue,kék
tentarei,I will try,megpróbálom
adolescentes,teenagers,tinédzserek
músculos,muscles,izmok
terminando,ending,befejező
amantes,lovers,szerelmesek
abandonado,abandoned,elhagyatott
cenário,scenario,forgatókönyv
justa,fair,becsületes
misterioso,mysterious,rejtélyes
colher,to harvest,aratni
dieta,diet,diéta
walt,Walt,Sóvárog
hábito,habit,szokás
elétrica,electrical,elektromos
vindos,coming,eljövetel
ameaças,threat,fenyegetés
fitas,ribbons,szalagok
desenhos,designs,minták
acabam,They end,Véget érnek
ferimentos,wound,seb
felix,Felix,Felix
pornô,porn,pornó
atividades,activities,tevékenységek
crane,crane,daru
façamos,Let's make,Csináljuk
produtor,producer,termelő
tiraram,took,vett
unir,join,csatlakozik
jill,jill,jill
garrafas,bottle,üveg
recebo,Receive,Kap
familiares,relatives,rokonok
construiu,built,épült
hércules,Hercules,Herkules
graham,Graham,Graham
desconfortável,uncomfortable,kényelmetlen
tomado,taken,vett
telefones,phones,telefon
rastrear,track back,visszahúz
discutindo,discuss,megvitat
juan,Juan,Juan
japoneses,Japanese,japán
saltar,jump,ugrás
saudações,greetings,üdvözlet
atos,acts,cselekedet
escândalo,scandal,botrány
fontes,sources,források
escravo,slave,rabszolga
vanessa,Vanessa,Vanessa
caí,falls,esés
errados,wrong,rossz
alienígenas,alien,idegen
cirurgião,surgeon,sebész
protocolo,protocol,jegyzőkönyv
chata,boring,unalmas
gêmeos,twins,Ikrek
aproximadamente,about,ról ről
bens,assets,eszközök
franklin,Franklin,Franklin
dana,dane,dán
vic,vic,VIC
explorar,to explore,felfedezni
fariam,would do,tenne
aranha,spider,pók
pulmões,lungs,tüdő
formatura,graduation,érettségi
philip,Philip,Philip
paramos,we stopped,megálltunk
radar,radar,radar
empregos,job,munka
bombeiros,firemen,tűzoltó
cordas,string,húr
alívio,relief,megkönnyebbülés
dezembro,December,december
iríamos,we would go,Elmennénk
brinca,joke,tréfa
ve,VE,Ve
necessidades,needs,igények
piratas,pirates,kalózok
quietos,quiet,csendes
beira,border,határ
colina,hill,hegy
macho,male,férfi
brenda,Brenda,Brenda
surra,beating,verés
suporte,support,támogatás
fechou,closed,zárva
paula,Paula,Paula
exceção,exception,kivétel
leal,loyal,hűséges
cópias,copies,másolatok
chase,chase,üldözés
detesto,detest,utálni
rolar,to roll,gurulni
perspectiva,perspective,perspektíva
dada,giving,adás
controla,control,ellenőrzés
mitchell,mitchell,Mitchell
apetite,appetite,étvágy
informante,informant,informátor
acostumar,accustom,hozzászoktat
ritual,ritual,szertartás
altamente,highly,magasan
ferimento,injury,sérülés
deusa,goddess,istennő
cristal,crystal,kristály
tentava,tried,megpróbálta
condado,county,megye
texto,text,szöveg
principais,main,fő-
corretamente,correctly,helyesen
generoso,generous,nagylelkű
kong,kong,Kong
gloria,glory,dicsőség
experimente,try it,próbáld ki
escutou,heard,hallott
colapso,collapse,összeomlás
servem,serving,szolgáló
queimado,burnt,megégett
aliados,allies,szövetségesek
nervos,nerves,idegek
when,WHEN,AMIKOR
programas,Software,Szoftver
lucro,profit,nyereség
desenvolvimento,development,fejlesztés
absoluta,absolute,abszolút
pat,pat,pácol
veem,see,lát
mm,mm,mm
método,method,módszer
diamante,Diamond,gyémánt
parados,stops,megáll
batman,Batman,Denevérember
concerto,concert,koncert
ronnie,ronnie,Ronnie
ellie,Ellie,Ellie
importe,import,behozatal
cruzar,to cross,átkelni
wade,Wade,Átgázol
aprendendo,learning,tanulás
campeonato,championship,bajnokság
adivinhe,guess,Találd ki
tubarão,shark,cápa
orçamento,budget,költségvetés
caçadores,hunter,vadász
chute,kick,rúgás
